
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:        8
-2.48846 -0.244928  7 
-2.36736 -0.291924  7 
-2.2041 -0.329216  7 
-2.04083 -0.344128  7 
-1.87757 -0.339278  7 
-1.7143 -0.313723  7 
-1.55104 -0.263483  7 
-1.50997 -0.244928  7 
-1.38778 -0.194962  7 
-1.22451 -0.0926786  7 
-1.21025 -0.0816638  7 
-1.06125  0.0429681  7 
-1.02323  0.0816002  7 
-0.897984  0.239482  7 
-0.893978  0.244864  7 
-0.794206  0.408128  7 
-0.73472  0.563327  7 
-0.731248  0.571392  7 
-0.682255  0.734656  7 
-0.658564  0.89792  7 
-0.655867  1.06118  7 
-0.673828  1.22445  7 
-0.715742  1.38771  7 
-0.73472  1.43512  7 
-0.775349  1.55098  7 
-0.864386  1.71424  7 
-0.897984  1.76109  7 
-0.985446  1.8775  7 
-1.06125  1.9573  7 
-1.1564  2.04077  7 
-1.22451  2.09494  7 
-1.38778  2.19185  7 
-1.41631  2.20403  7 
-1.55104  2.26646  7 
-1.7143  2.31324  7 
-1.87757  2.33693  7 
-2.04083  2.34141  7 
-2.2041  2.32763  7 
-2.36736  2.29314  7 
-2.53062  2.2319  7 

 1.55098  3.09265  7 
 1.41379  3.02035  7 
 1.38771  3.00658  7 
 1.22445  2.88734  7 
 1.19169  2.85709  7 
 1.06118  2.71083  7 
 1.04777  2.69382  7 
 0.945751  2.53056  7 
 0.89792  2.41074  7 
 0.879433  2.3673  7 
 0.835552  2.20403  7 
 0.817922  2.04077  7 
 0.823563  1.8775  7 
 0.853536  1.71424  7 
 0.89792  1.58852  7 
 0.910017  1.55098  7 
 0.990472  1.38771  7 
 1.06118  1.28915  7 
 1.11216  1.22445  7 
 1.22445  1.11218  7 
 1.28919  1.06118  7 
 1.38771  0.99053  7 
 1.55098  0.910083  7 
 1.58873  0.89792  7 
 1.71424  0.853624  7 
 1.8775  0.823639  7 
 2.04077  0.817979  7 
 2.20403  0.835589  7 
 2.3673  0.879453  7 
 2.41071  0.89792  7 
 2.53056  0.945759  7 
 2.69382  1.04777  7 
 2.71082  1.06118  7 
 2.85709  1.19169  7 
 2.88734  1.22445  7 
 3.00658  1.38771  7 
 3.02035  1.41379  7 
 3.09265  1.55098  7 
 3.14551  1.71424  7 
 3.17236  1.8775  7 
 3.17742  2.04077  7 
 3.16182  2.20403  7 
 3.1228  2.3673  7 
 3.05371  2.53056  7 
 3.02035  2.58615  7 
 2.95394  2.69382  7 
 2.85709  2.80821  7 
 2.80821  2.85709  7 
 2.69382  2.95394  7 
 2.58615  3.02035  7 
 2.53056  3.05371  7 
 2.3673  3.1228  7 
 2.20403  3.16182  7 
 2.04077  3.17742  7 
 1.8775  3.17236  7 
 1.71424  3.14551  7 
 1.55098  3.09265  7 


# Contour 3, label:      6.5
 0.571392 -0.986361  6.5 
 0.433107 -1.06125  6.5 
 0.408128 -1.07526  6.5 
 0.244864 -1.20308  6.5 
 0.223002 -1.22451  6.5 
 0.0889585 -1.38778  6.5 
 0.0816002 -1.40001  6.5 
-0.00461638 -1.55104  6.5 
-0.0610996 -1.7143  6.5 
-0.0816638 -1.82968  6.5 
-0.0914262 -1.87757  6.5 
-0.0981087 -2.04083  6.5 
-0.0816638 -2.17389  6.5 
-0.0784832 -2.2041  6.5 
-0.0367441 -2.36736  6.5 
 0.0370423 -2.53062  6.5 
 0.0816002 -2.59912  6.5 
 0.148348 -2.69389  6.5 
 0.244864 -2.79696  6.5 
 0.315341 -2.85715  6.5 
 0.408128 -2.92663  6.5 
 0.571392 -3.01075  6.5 
 0.600244 -3.02042  6.5 
 0.734656 -3.06811  6.5 
 0.89792 -3.09673  6.5 
 1.06118 -3.09992  6.5 
 1.22445 -3.07785  6.5 
 1.38771 -3.02712  6.5 
 1.40196 -3.02042  6.5 
 1.55098 -2.95156  6.5 
 1.68451 -2.85715  6.5 
 1.71424 -2.83348  6.5 
 1.85071 -2.69389  6.5 
 1.8775 -2.658  6.5 
 1.96341 -2.53062  6.5 
 2.03441 -2.36736  6.5 
 2.04077 -2.3435  6.5 
 2.08132 -2.2041  6.5 
