
# Surface 0 of 1 surfaces

# Curve title: ""main_contourtmp0.dat""

# Contour 0, label:      500
 5.7257  0.544797  500 
 5.73609  0.423597  500 
 5.74663  0.302397  500 
 5.7564  0.192049  500 
 5.75728  0.181198  500 
 5.76732  0.0599976  500 
 5.77755 -0.0612024  500 
 5.78796 -0.182402  500 
 5.79856 -0.303602  500 
 5.8093 -0.424802  500 
 5.82018 -0.546002  500 
 5.83113 -0.667202  500 
 5.84212 -0.788402  500 
 5.85307 -0.909602  500 
 5.86391 -1.0308  500 
 5.87455 -1.152  500 
 5.8776 -1.18781  500 
 5.8843 -1.2732  500 
 5.89342 -1.3944  500 
 5.90205 -1.5156  500 
 5.91007 -1.6368  500 
 5.91733 -1.758  500 
 5.9237 -1.8792  500 
 5.92901 -2.0004  500 
 5.93309 -2.1216  500 
 5.93578 -2.2428  500 
 5.93687 -2.364  500 
 5.93616 -2.4852  500 
 5.93344 -2.6064  500 
 5.92848 -2.7276  500 
 5.92104 -2.8488  500 
 5.91089 -2.97  500 
 5.89775 -3.0912  500 
 5.88136 -3.2124  500 
 5.8776 -3.23536  500 
 5.85996 -3.3336  500 
 5.83403 -3.4548  500 
 5.8036 -3.576  500 
 5.76832 -3.6972  500 
 5.7564 -3.73297  500 
 5.72509 -3.8184  500 
 5.67462 -3.9396  500 
 5.6352 -4.02352  500 
 5.61587 -4.0608  500 
 5.54552 -4.182  500 
 5.514 -4.23075  500 
 5.46209 -4.3032  500 
 5.39279 -4.3905  500 
 5.36283 -4.4244  500 
 5.2716 -4.51803  500 
 5.24151 -4.5456  500 
 5.15039 -4.62169  500 
 5.08951 -4.6668  500 
 5.0292 -4.70768  500 
 4.908 -4.78006  500 
 4.89278 -4.788  500 
 4.78679 -4.83876  500 
 4.6656 -4.88896  500 
 4.60835 -4.9092  500 
 4.54439 -4.93004  500 
 4.4232 -4.96324  500 
 4.302 -4.9906  500 
 4.18079 -5.01256  500 
 4.0596 -5.02953  500 
 4.05109 -5.0304  500 
 3.9384 -5.04104  500 
 3.8172 -5.0486  500 
 3.696 -5.05262  500 
 3.5748 -5.05344  500 
 3.4536 -5.05137  500 
 3.3324 -5.04673  500 
 3.2112 -5.03982  500 
 3.09 -5.03091  500 
 3.08413 -5.0304  500 
 2.9688 -5.01946  500 
 2.8476 -5.0064  500 
 2.7264 -4.99205  500 
 2.6052 -4.97668  500 
 2.484 -4.96054  500 
 2.3628 -4.94388  500 
 2.2416 -4.92694  500 
 2.1204 -4.90994  500 
 2.11507 -4.9092  500 
 1.9992 -4.89171  500 

-2.8488  5.65928  500 
-2.7276  5.65526  500 
-2.6064  5.6493  500 
-2.4852  5.64163  500 
-2.39998  5.6352  500 
