
# Surface 0 of 1 surfaces

# Curve title: ""main_2D_contourtmp0.dat""

# Contour 0, label:      400
 5.39279 -3.97129  400 
 5.41106 -3.9396  400 
 5.47312 -3.8184  400 
 5.514 -3.72783  400 
 5.52646 -3.6972  400 
 5.56963 -3.576  400 
 5.60698 -3.4548  400 
 5.6352 -3.34769  400 
 5.63856 -3.3336  400 
 5.66301 -3.2124  400 
 5.68325 -3.0912  400 
 5.69962 -2.97  400 
 5.71244 -2.8488  400 
 5.72202 -2.7276  400 
 5.72866 -2.6064  400 
 5.73265 -2.4852  400 
 5.73426 -2.364  400 
 5.73374 -2.2428  400 
 5.73134 -2.1216  400 
 5.72729 -2.0004  400 
 5.7218 -1.8792  400 
 5.71508 -1.758  400 
 5.70732 -1.6368  400 
 5.6987 -1.5156  400 
 5.68936 -1.3944  400 
 5.67947 -1.2732  400 
 5.66916 -1.152  400 
 5.65854 -1.0308  400 
 5.64773 -0.909602  400 
 5.63683 -0.788402  400 
 5.6352 -0.77038  400 
 5.62503 -0.667202  400 
 5.61314 -0.546002  400 
 5.60138 -0.424802  400 
 5.5898 -0.303602  400 
 5.57844 -0.182402  400 
 5.56732 -0.0612024  400 
 5.55646  0.0599976  400 
 5.54585  0.181198  400 
 5.53548  0.302397  400 
 5.52533  0.423597  400 
 5.51536  0.544797  400 
 5.514  0.561558  400 
 5.50474  0.665997  400 
 5.4941  0.787197  400 
 5.48348  0.908397  400 
 5.47282  1.0296  400 
 5.46202  1.1508  400 
 5.45098  1.272  400 
 5.4396  1.3932  400 
 5.42776  1.5144  400 
 5.41533  1.6356  400 
 5.40218  1.7568  400 
 5.39279  1.83782  400 
 5.38775  1.878  400 
 5.37139  1.9992  400 
 5.35379  2.1204  400 
 5.33478  2.2416  400 
 5.3142  2.3628  400 
 5.29186  2.484  400 
 5.2716  2.58506  400 
 5.26723  2.6052  400 
 5.23844  2.7264  400 
 5.20718  2.8476  400 
 5.17322  2.9688  400 
 5.15039  3.04361  400 
 5.13509  3.09  400 
 5.09151  3.2112  400 
 5.04439  3.3324  400 
 5.0292  3.3683  400 

-5.89302 -4.0608  400 
-5.88569 -4.182  400 
-5.8788 -4.24876  400 
-5.87254 -4.3032  400 
-5.85226 -4.4244  400 
-5.82485 -4.5456  400 
-5.78955 -4.6668  400 
-5.7576 -4.75517  400 
-5.74421 -4.788  400 
-5.68451 -4.9092  400 
-5.6364 -4.99105  400 
-5.61001 -5.0304  400 
-5.5152 -5.15086  400 
-5.51453 -5.1516  400 
-5.394 -5.2663  400 
-5.38598 -5.2728  400 
-5.2728 -5.35319  400 
-5.20394 -5.394  400 
-5.1516 -5.42146  400 
-5.0304 -5.47363  400 
-4.9092 -5.51497  400 
-4.90831 -5.5152  400 
-4.788 -5.54358  400 
-4.6668 -5.56417  400 
-4.5456 -5.5775  400 
-4.4244 -5.58431  400 
-4.3032 -5.58523  400 
-4.182 -5.58089  400 
-4.0608 -5.57185  400 
-3.9396 -5.55866  400 
-3.8184 -5.5418  400 
-3.6972 -5.52174  400 
-3.66271 -5.5152  400 
-3.576 -5.49741  400 
-3.4548 -5.46992  400 
-3.3336 -5.44029  400 
-3.2124 -5.40891  400 
-3.15758 -5.394  400 
-3.0912 -5.37446  400 
-2.97 -5.33749  400 
-2.8488 -5.29973  400 
-2.7637 -5.2728  400 
-2.7276 -5.26042  400 
-2.6064 -5.21837  400 
-2.4852 -5.17645  400 
-2.41301 -5.1516  400 
-2.364 -5.13329  400 
-2.2428 -5.08845  400 
-2.1216 -5.04457  400 
-2.08165 -5.0304  400 
-2.0004 -4.99907  400 
-1.8792 -4.95372  400 
-1.758 -4.91007  400 
-1.7555 -4.9092  400 
-1.6368 -4.86425  400 
-1.5156 -4.8206  400 
-1.42005 -4.788  400 
-1.3944 -4.77845  400 
-1.2732 -4.73578  400 
-1.152 -4.69599  400 
-1.05617 -4.6668  400 
-1.0308 -4.65836  400 
-0.909602 -4.62106  400 
-0.788402 -4.58716  400 
-0.667202 -4.55667  400 
-0.617955 -4.5456  400 
-0.546002 -4.52791  400 
-0.424802 -4.50177  400 
-0.303602 -4.47936  400 
-0.182402 -4.46063  400 
-0.0612024 -4.44552  400 
 0.0599976 -4.43393  400 
 0.181198 -4.42578  400 
 0.215604 -4.4244  400 
 0.302397 -4.4206  400 
 0.423597 -4.41883  400 
 0.544797 -4.42047  400 
 0.642051 -4.4244  400 
 0.665997 -4.42527  400 
 0.787197 -4.43251  400 
 0.908397 -4.44238  400 
 1.0296 -4.45473  400 
 1.1508 -4.46936  400 
 1.272 -4.48608  400 
 1.3932 -4.50469  400 
 1.5144 -4.52498  400 
 1.6294 -4.5456  400 
 1.6356 -4.54661  400 
 1.7568 -4.56755  400 
 1.878 -4.58938  400 
 1.9992 -4.61185  400 
 2.1204 -4.63471  400 
 2.2416 -4.65769  400 
 2.28982 -4.6668  400 
 2.3628 -4.67939  400 
 2.484 -4.69992  400 
 2.6052 -4.71979  400 
 2.7264 -4.73869  400 
 2.8476 -4.75634  400 

-3.576  5.40657  400 
-3.65656  5.39279  400 
-3.6972  5.38517  400 
-3.8184  5.35702  400 
-3.9396  5.32298  400 
-4.0608  5.28263  400 
-4.08923  5.2716  400 
-4.182  5.23195  400 
-4.3032  5.17223  400 
-4.34206  5.15039  400 
-4.4244  5.09928  400 
-4.52424  5.0292  400 
-4.5456  5.01256  400 
-4.66531  4.908  400 
-4.6668  4.90654  400 
-4.77719  4.78679  400 
-4.788  4.77366  400 
-4.86829  4.6656  400 
-4.9092  4.6036  400 
-4.94464  4.54439  400 
-5.00865  4.4232  400 
-5.0304  4.37615  400 
-5.06165  4.302  400 
-5.10599  4.18079  400 
-5.14408  4.0596  400 
-5.1516  4.03133  400 
